...1,intermediate,intermediate_Cytosig
12,B_cell,B_cell
14,CD4,CD4
16,HS,CD4
21,MT_hi_IER,CD4
19,Ribhi_T_cells,CD4
24,CD4_CD8_IFIT3,CD4_CD8_IFIT3
18,CD8,CD8
38,APOA4,Colonocytes
28,Colonocytes,Colonocytes
30,Epithlium_Rib_hi,Colonocytes
31,IER_Epithelium,Colonocytes
50,Cycling_myeloids,NA
32,Cycling_TA,Cycling_TA
13,Cycling_B_cell,Cycling_B_cell
61,Cycling_fibroblasts,NA
64,Cycling_Myeloid,NA
63,Cycling_PC,NA
62,Cycling_T_cell,NA
47,DCs,DCs
49,pDC,DCs
26,DN_EOMES,DN_EOMES
59,Endothelium,Endothelium
36,Enteroendocrines,Enteroendocrines
48,Eosinophils,Eosinophils
60,Glia,Glia
35,Goblet,Goblet
37,Mature_goblet,Goblet
29,Secretory_progenitor,Goblet
25,ILC3,ILC
20,NK,ILC
46,Inflammatory_monocytes,Inflammatory_monocytes
52,Inflammatory_fibroblasts,Inflammatory_fibroblasts
40,M0,Macrophage
43,M1,Macrophage
39,M2,Macrophage
41,Macrophage_NRG1,Macrophage
44,Rib_hi_myeloids,Macrophage
45,Mast,Mast
57,Myofibroblasts,Myofibroblasts
23,Naïve_T_cells,Naive_T_cells
42,Neutrophils,Neutrophils
11,PC_IFIT1,NA
3,PC_IER,PC_IgA
9,PC_IgA,PC_IgA
2,PC_IGLL5,PC_IgA
4,PC_PSAT1,PC_IgA
8,PC_heat_shock,PC_IgG
7,PC_IgG,PC_IgG
10,PC_IGLV6-57,PC_IgG
56,Perycites,Perycites
6,Plasmablast_IgA,Plasmablast_IgA
5,Plasmablast_IgG,Plasmablast_IgG
1,Plasmablast_IGKC,Plasmablast_IgG
55,IER_fibroblasts,S1
54,MT_fibroblasts,S1
58,S1,S1
53,S2,S2
51,S3,S3
34,Stem,Stem
15,Th17,Th17
22,Thf,Thf
17,Tregs,Tregs
27,Tuft,Tuft
33,Undifferentiated_epithelium,Undifferentiated_epithelium
