"Cluster";"Response";"e.score";"P.value";"FC";"fdr";"ast";"log10pval"
"APOA4";"NR POST";-5,19615242270663;2,03455461454443e-07;0;2,06677802598373e-06;"**";5,68470616452755
"Colonocytes";"NR POST";-2,32693101497284;0,0199689371661805;0,858283433133733;0,139897976017148;"";0,854188568645718
"Cycling TA";"NR POST";1,49120227015865;0,135908397847371;1,18705035971223;0,890715639360157;"";0,0502609221895271
"Cycling_fibroblasts";"NR POST";-0,2;0,841480581121794;0,923076923076923;1;"";0
"Endothelium";"NR POST";1,24;0,214975394149174;1,1043771043771;1;"";0
"Enteroendocrines";"NR POST";-0,426401432711221;0,669815357599416;0,833333333333333;1;"";0
"Epithlium Rib hi";"NR POST";-5,58105260216638;2,39067321702393e-08;0,472727272727273;2,55635458799846e-07;"**";6,5923789060182
"Glia";"NR POST";-0,156173761888606;0,875896057922941;0,952380952380952;1;"";0
"Goblet";"NR POST";-0,636363636363636;0,524539436435313;0,890625;1;"";0
"IER Epithelium";"NR POST";2,19740106229414;0,0279918154856657;1,45614035087719;0,189567678152888;"";0,722235709173424
"IER_fibroblasts";"NR POST";0,757936728959867;0,448488861031532;1,13636363636364;1;"";0
"Inflammatory_fibroblasts";"NR POST";3,7883795688085;0,00015163306488662;1,37448559670782;0,00123227711570831;"**";2,90929161661172
"Mature goblet";"NR POST";-0,762000762001143;0,446059549370744;0,823529411764706;1;"";0
"MT fibroblasts";"NR POST";-1,36277028773849;0,172954917988421;0,75;1;"";0
"Myofibroblasts";"NR POST";2,37289498938125;0,0176492809125662;1,58139534883721;0,128062938562087;"";0,892576536974939
"Perycites";"NR POST";4,06996015284627;4,70211794813445e-05;1,65686274509804;0,000416662035714641;"**";3,38021606861102
"S1";"NR POST";0,471404520791032;0,637351888233937;1,07692307692308;1;"";0
"S2";"NR POST";2,95308664294171;0,00314613645213531;1,49438202247191;0,0245843474671072;"*";1,60934131453248
"S3";"NR POST";-1,14042888190456;0,254107665920815;0,840425531914894;1;"";0
"Secretory progenitor";"NR POST";-0,985036562622409;0,324606111726182;0,87037037037037;1;"";0
"Stem";"NR POST";-0,89553347118899;0,370501981576032;0,836363636363636;1;"";0
"Tuft";"NR POST";-2,56195947736032;0,0104083461878019;0,486486486486487;0,0783199575383607;"";1,10612755666024
"Undifferentiated epithelium";"NR POST";-0,651217144763179;0,514906324493293;0,91;1;"";0
"APOA4";"R POST";1;0,317310507862914;Inf;1;"";0
"Colonocytes";"R POST";18,6276588163308;1,91729502998294e-77;2,25946704067321;1,94766127631519e-75;"**";74,7104865703621
"Cycling TA";"R POST";11,5459233117246;7,74057429202248e-31;2,535;3,14526800920089e-29;"**";28,502342342283
"Cycling_fibroblasts";"R POST";0,229415733870562;0,818545808382043;1,11111111111111;1;"";0
"Endothelium";"R POST";9,44105901289004;3,69030536755589e-21;2,43918918918919;6,81591394482905e-20;"**";19,1664759014458
"Enteroendocrines";"R POST";4,1800391472721;2,91458916750513e-05;3,58333333333333;0,000281976249979439;"**";3,54978746947228
"Epithlium Rib hi";"R POST";10,3989330792769;2,50724699801661e-25;2,10989010989011;7,27701983684483e-24;"**";23,1380464412088
"Glia";"R POST";8,72748612628557;2,60395788718855e-18;6,47368421052632;3,77885649367005e-17;"**";16,4226396005917
"Goblet";"R POST";9,9816047022727;1,83475142091749e-23;3,15730337078652;3,72762067214773e-22;"**";21,4285682884787
"IER Epithelium";"R POST";9,30243039574098;1,37271348791036e-20;2,64102564102564;2,32409102587127e-19;"**";18,6337468662733
"IER_fibroblasts";"R POST";13,7345246784005;6,30686149022317e-43;4,65;4,27116665493067e-41;"**";40,3694534826812
"Inflammatory_fibroblasts";"R POST";-4,06922851283326;4,71690672792492e-05;0,494845360824742;0,000416662035714641;"**";3,38021606861102
"Mature goblet";"R POST";6,10170215847752;1,04944796559417e-09;2,46666666666667;1,1845213248246e-08;"**";7,92645711630864
"MT fibroblasts";"R POST";13,1271351909576;2,30201634622421e-39;7,9375;1,1692379171883e-37;"**";36,9320971093609
"Myofibroblasts";"R POST";6,48074069840786;9,12734179928921e-11;3;1,09081191133831e-09;"**";8,96225012833927
"Perycites";"R POST";4,04145188432738;5,31212815941172e-05;2;0,000449688499905417;"**";3,3470882187062
"S1";"R POST";19,9121546407973;3,19283386499645e-88;7,98630136986301;6,48680436063788e-86;"**";85,1879692000159
"S2";"R POST";10,2886550711842;7,92759048519505e-25;3,13541666666667;1,7895884869096e-23;"**";22,7472468228809
"S3";"R POST";10,383720722889;2,94085370385788e-25;3,83076923076923;7,46857785153055e-24;"**";23,1267620876134
"Secretory progenitor";"R POST";10,9649680638974;5,63204352834211e-28;2,55367231638418;1,90708140290249e-26;"**";25,7196307688959
"Stem";"R POST";6,86137241173725;6,82021033443543e-12;2,84905660377358;8,66028659972504e-11;"**";10,0624677353938
"Tuft";"R POST";6,86137241173725;6,82021033443543e-12;2,84905660377358;8,66028659972504e-11;"**";10,0624677353938
"Undifferentiated epithelium";"R POST";8,76943057566221;1,79572095580793e-18;2,52136752136752;2,80640262132212e-17;"**";16,5518500226608
