"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",31.0199645827676,0.168057339203009,1.01505623547981,0.165564560197563,0.86849963916797,0.972611809150968
"ADA",6110.49769621173,0.138441024795545,0.182071596990626,0.76036585103756,0.447035929720165,0.806031631682846
"AKT3",1896.88850300225,0.104321520819597,0.163546696538919,0.63786993578786,0.523558349670326,0.850958511295147
"ZBTB11-AS1",134.561670817179,0.165194108245394,0.270184535380855,0.611412152114979,0.540926759643504,0.859323678863462
"MED6",806.152880178161,0.0595200475475984,0.168397951479746,0.353448762437927,0.723752034602317,0.932537423811776
"NAALAD2",15.058357209224,-0.412216635396994,0.628323388823168,-0.656058078896386,0.511786755874281,NA
"DDTL",188.232551512569,-0.39232068556664,0.268946964868492,-1.4587288083302,0.144639763758974,0.50088553721616
"CDKN2B-AS1",15.3568135352552,0.794279667399794,0.608239039419873,1.30586762098888,0.191597579343686,NA
"SIGLEC14",1617.75907127474,-0.574138189502877,0.228983594404812,-2.50733329169372,0.0121645948639592,0.121963374936547
"NINJ2-AS1",41.634597543698,-0.261720173509807,0.556626883926999,-0.470189602886898,0.638219561695605,0.897984102146075
"ACOT8",119.814020815526,0.160139692331888,0.428036030276783,0.374126664590212,0.708310081382412,0.926272696799183
"ABI1",29307.5913795701,0.2787983355971,0.219657590741575,1.26924061515864,0.204355259313739,0.589304543163853
"GNPDA1",1065.62671510842,-0.254099388809743,0.239936153309424,-1.05902918466003,0.289586488602794,0.686147735378531
"KCNE3",94.5546451750516,0.578198932034928,0.249578004043735,2.31670629088615,0.0205197366565904,0.168326848014221
"ZBTB33",1841.2756678656,0.0143468411203202,0.23220860081135,0.0617842796097625,0.950734622622413,0.989484414438451
"GTF2IP4",1016.92656414058,0.194949446867134,0.203941126994747,0.955910412675886,0.339117497822224,0.727002972743072
"TANK",11511.8220557713,0.529651465163356,0.194190941706579,2.7274777108999,0.00638205691407328,0.0810412365709241
"POM121C",1431.87316245768,-0.332431000405835,0.157615409807977,-2.10912753271292,0.0349335749066098,0.229886083266646
"ZSCAN30",39.5815146498672,-0.574473520477586,0.418730555783924,-1.37194076845452,0.170081877616272,0.538073106052435
"SRA1",436.572479540902,0.0577516604049246,0.190468629967086,0.303208252271801,0.761731160462637,0.943997391744323
"UCKL1-AS1",22.3441285957087,-0.607919251075012,0.643599182394613,-0.9445618759383,0.344882598259001,NA
"TMEM170B",252.71817661929,-0.119892114060015,0.243423807397481,-0.492524192032896,0.622348824163508,0.891443679639162
"ZGLP1",16.1263132196473,-0.754134756426737,0.547282471097237,-1.37796256275993,0.168214847073471,NA
"MIR147B",2556.6443869313,0.396641502424616,0.212607722603888,1.86560251700548,0.0620969972217192,0.322282062704966
"MIR922",107.640103352605,0.58131670751746,0.34459507892587,1.68695591744801,0.0916118286930382,0.396390726298628
"MIR943",9.81252464329038,-0.396771984437116,0.698034757701271,-0.56841293368219,0.569754610219624,NA
"GHRLOS",18.5920839369638,-0.332487812874942,0.68576092100643,-0.484845086224772,0.627786237988354,NA
"SLCO4A1-AS1",334.784103419164,-1.84379444095453,0.29378374529096,-6.2760260583119,3.4733599530187e-10,8.80238093625654e-08
"C8orf88",24.3965522355869,-0.170666870282745,0.579333075012204,-0.294591967287817,0.768305599178445,NA
"UBE2Q2P13",17.8434641556259,0.107919705180697,0.583247646487723,0.18503238860985,0.853203631742887,NA
"TMPO-AS1",39.3524252144895,0.652247279375996,0.537987031811854,1.21238476172805,0.225365131238327,0.614550774424204
"ZNF667-AS1",14.112574589065,-0.602568931851185,0.661815034728442,-0.910479363918399,0.362569759858512,NA
"FAM225B",75.7576158254205,0.236054571515628,0.333886113806035,0.706991281622331,0.479571895752301,0.826584419552083
"TEKTIP1",75.4171631308138,0.163069504419398,0.436743803226082,0.373375656883642,0.70886887464787,0.926515655210225
"HPN-AS1",26.3563151239856,0.178196969455343,0.704810021849647,0.252829789490929,0.800399746705327,NA
"OST4",827.923963549801,0.220431792349026,0.170583902421509,1.29221919079061,0.196281247558704,0.577545933713372
"ERCC6L2-AS1",57.3102452317967,0.131674792775723,0.489430380573994,0.269036819131042,0.787901349282134,0.951969431961921
"VPS9D1-AS1",164.247468803675,-0.0455336760695792,0.277633545686395,-0.164006391796085,0.869726112022786,0.973207313841153
"ZBTB42",288.678740707557,0.415792463742688,0.305367110607038,1.36161508328823,0.173319392586482,0.543315071660452
"SEMA3F-AS1",266.713570261773,0.154189850119466,0.200080238409152,0.770640075928727,0.44092029993514,0.801434715783221
"KTN1-AS1",9.40897902261658,0.515896775046938,0.8008850449065,0.64415833249473,0.519472767389816,NA
"ZSCAN16-AS1",68.4033779528233,0.0153306972578632,0.392531152782201,0.0390560014133949,0.968845739968909,0.991828243125886
"LNCRNA-IUR",25.9601826617361,0.793573139386332,0.762549325836092,1.04068433673615,0.298022075051968,NA
"SMIM27",39.8159305953935,0.275524935557765,0.372093886486084,0.740471546468339,0.459013919964534,0.815287026647415
"SMIM10L1",336.710711616976,-0.261947016022473,0.213381305131335,-1.2276005897576,0.219596940326461,0.608544455576351
"ZNF37BP",79.2006566901416,-0.73188023023498,0.454251769784026,-1.61117749873149,0.107141040667832,0.426154730703056
"SOD2-OT1",39.6940809411962,0.263635417534501,0.395209113089045,0.667078285401535,0.504722129612905,0.841124578278679
"LINC02035",71.0223943828117,0.446218737183925,0.569029326517164,0.784175290077014,0.43293726210697,0.796823354587391
"ARRDC3-AS1",10.5459085601633,-0.594568078448547,0.736271274853137,-0.807539420259394,0.419355772710551,NA
"CCDC152",71301.5483051414,0.238519099256345,0.28911104781779,0.825008594644471,0.409366711247595,0.781016146160899
"COL4A2-AS2",34.3395891010564,-0.0487328766054179,1.18347746884212,-0.0411776969891084,0.967154233813637,0.991350077207786
"ZNF737",92.1153663366447,-0.362825810118119,0.431497958142266,-0.840851742798965,0.400430995732711,0.774274933469533
"SCOC-AS1",6.92015434479705,0.427812495603404,0.973487274932007,0.439463880648346,0.660325448140872,NA
"PCGF3-AS1",18.6272924577714,-0.572983875249578,0.600198458401474,-0.954657359126883,0.339751000154243,NA
"HMGA2-AS1",7.88719062461881,0.502045372945062,0.839224341089067,0.598225466498689,0.549689501133456,NA
"HDAC6",1120.70880497728,0.238719588526465,0.167478886301291,1.42537124409231,0.154049915829842,0.513428921101806
"EFCAB14-AS1",151.28735261134,-0.0198162269740742,0.253935889391289,-0.0780363383119092,0.937799147321942,0.98725621480006
"C17orf107",6.02784776283676,-1.29537591905288,1.02020292025069,-1.26972379057156,0.204183035326144,NA
"WAKMAR2",66.1088607484234,0.581802182706,0.298054647013799,1.95199836182747,0.0509383991052022,0.286865399355143
"CD300H",20.885038037941,-1.22826236732828,1.00046061576403,-1.22769687079614,0.219560781562782,NA
"ATP6V1FNB",31.9862951093412,0.415515528758469,0.689740620183156,0.60242287694776,0.546892685775745,0.860985406335428
"LRRC70",7.22164685412165,-1.78423440986783,1.04853635684405,-1.70164286457184,0.0888223369858992,NA
"LRRC69",12.2074544344561,-0.91962994902868,0.757833791730904,-1.21349820905747,0.224939398688436,NA
"EFCAB10",93.307263022985,-0.299461204927759,0.274032463865653,-1.09279462988944,0.274483979971202,0.674745335201697
"AGAP2-AS1",41.1845292640398,-0.336068869460539,0.612519476703061,-0.548666421628679,0.583234393848859,0.874718641684565
"SBK3",7.01015669396053,-0.260145094725248,1.04469988284619,-0.249014189622101,0.803349805346217,NA
"TSTD3",144.849165478126,0.226437295879801,0.253256469717592,0.89410270992209,0.371266939521325,0.755744858125732
"VAC14-AS1",127.483068947859,-0.0405115440129327,0.33158915927013,-0.122173909732465,0.902761288660395,0.978516276184634
"ZNF594-DT",29.1302388576607,1.74143688580821,0.655684318639046,2.65590747910943,0.00790953115825595,0.0943047303563429
"SYCE1L",16.768676559337,0.198781609850046,0.541694272781291,0.366962731264291,0.713646817719528,NA
"ZNF316",867.67958862947,-0.179908110195513,0.202063857613423,-0.890352744525461,0.373276507939375,0.75694092605905
"CKMT2-AS1",13.4234879852222,-0.218973862125037,0.726834880713731,-0.301270436980145,0.763208282159302,NA
"SRP14-DT",29.9333865811786,-0.214954652390304,0.556203006823068,-0.386467979772505,0.699150112477869,0.923644297884194
"DPP9-AS1",122.339796253191,-0.126808570506389,0.25048940940541,-0.506243241210862,0.612685902707241,0.88821896119454
"TSTD1",11.5815089162165,-0.102367088693727,0.802598844822832,-0.127544525330489,0.898509434798477,NA
"CCDC183-AS1",22.8861270128473,0.151572916873242,0.619182466004783,0.244795234353538,0.806614984111481,NA
"NEMP2",552.712572781263,0.343509584808674,0.20339575716805,1.68887291254979,0.0912437872377018,0.395345489191803
"ZNF503-AS2",136.968689389778,0.835358999665843,0.334585149212915,2.49670076998623,0.0125354685300092,0.124011599386163
"GREM1-AS1",40.7185995651915,-1.36250747993757,0.691135796615907,-1.97140342984546,0.0486777490599617,0.279018608784025
"C11orf91",48.2309636587279,-0.234230721496309,0.384728437363261,-0.608820920807442,0.542643145010599,0.859391295189359
"EOLA1-DT",43.546359497313,0.252130081259137,0.389930842049719,0.646602048542209,0.517889531858058,0.847369856118666
"ZNF236-DT",13.866265465793,-0.334857182889677,0.696252895510905,-0.48094188914498,0.630557800048061,NA
"MZF1-AS1",14.5275962486483,-0.365291858381768,0.618909359406414,-0.590218669066685,0.555044057449625,NA
"ARMCX4",59.1907900409952,-0.0487204050061307,0.417622585792844,-0.116661326909886,0.907128437604274,0.980013859971851
